NU_SEQUENCIAL;CO_ESCOLA;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;NU_NOTA_REDACAO
206403;23052929.0;1420.0;1383.0;1395.0;1408.0;436.8;377.8;423.4;427.1;CAABADDBBBACACACDEABDBABDDCCBACDCCBAACCABCBAC;BEABBCDABCDBAEEBDDABCCDAADDABACDDAB..........;BCADBCDCEDBDDBDDCDBCBB*BBDEAEEBCDCABBDDAAECEE;CBDCCADBBECCBADEACCBDCACECDDABBDBADBAAEDBCCAB;1;300.0
3604651;42103770.0;1422.0;1384.0;1396.0;1410.0;521.9;601.9;605.5;689.2;EBDEEADAECCAAEDBBEDABACDBCEEDDDEDBDDABDBCCECA;BADBACDAECEDEABBEADDBBDEBEDADEDEEACBBECABCEDA;AACEACADECBCDAEEBEDCBCBEDDCDEAEDEBDABDCECDDDB;DBAEDBECBDDBCCBBABBDECCCCEECBACCDBCDAAABBAAAD;0;920.0
134650;29088240.0;1422.0;1384.0;1396.0;1410.0;374.6;427.0;532.7;504.0;DCAECEAAEBDEBAAECBCBBDDCDCDDBCACDCADBEDCACDBB;BADAEBCAEDBAECBAADECADDDDAAAABBBBCCCCEEEEDDDD;ABACAEADECBBDACDBDDBACDEADADACBCEBDEBDDECECAB;CEDECBEDABDCACBDCDCEBABEBDBDBDBEDAAECAACCEBCD;0;720.0
588106;15585972.0;1422.0;1384.0;1396.0;1410.0;466.4;420.0;361.3;400.5;BCDDBEDAEADCBECADECAAEEBCADADBEACBBBBDBCADDDB;BBDABECDCCADEEBCBCAADEDEADCBCEAEDEEBACBECAABD;ACCBEAAEDEBDDACAEAEBDCADDCBDECACBCAEBAECDEABB;EBDDCBAECBDCAEACDEBACEAABCAADBBECDEDCDCADBCEB;1;380.0
1221621;26068877.0;1419.0;1385.0;1398.0;1407.0;367.7;394.7;390.0;391.0;CDDDAEEDBDCDDCEAAABCEAAADCADEAACBBECAABBDCBDB;ACDBDDACCAACBAACDEEBDEBBAEACDEBBABCEDBCBEEABB;CDECABABBADAEBCDCDBACADBBCEBECBCEBCDADABABBBA;BECCBCAEEDEDBBDEECDCBEDCDCEBEACEEBCBBBDCADDAD;1;460.0
1626014;21055823.0;1420.0;1383.0;1395.0;1408.0;455.8;441.8;396.1;429.8;AABCACCEABDDDBABACCCCABDDBACBBABCBBDCCBDBAACB;ACBACCCBBABCCCABBBBCBABCCBABDAAACACCDEAABABBC;ACABCCDBCACCECBCACDAAABCCBACBCABAAAABCBBAECCA;CAEBBCCABABBDCBCCABBBACCDBDDCCCBCABEEEEECDCAB;1;500.0
2983922;15038483.0;1420.0;1383.0;1395.0;1408.0;521.7;544.8;582.3;520.7;DCEACECACDDBBCDAABDBCACEADDDBDCECBBEAEDEAAACB;ABCECBBCDBDBBEEDAECCCAECCAABEAEAEEACCEAACABDA;AAAAEECBECADDBBEEBBCBBBDCBDEADCBDADDCEEDABDEB;CEEBACDECDBEDCBBEACBACCCAECEDACEBCBECDCBDAEAE;0;760.0
718594;60026482.0;1421.0;1386.0;1397.0;1409.0;536.7;564.1;573.1;465.7;DCBADEBABBCDEABADDBDBEDCECBBECBAEBDDAEADAEAEB;ABDDADEDCEEDCEDADBCDCEBBDCBBECBEAABAEAEDBAECB;DACBDCBBDADDEBDABDBBCEAADABDBBCDCBEEDDAECBECD;BDACDDCBBACBCEBADEDCBDBBCDCBCDAEDDCCDBACDCDBD;1;820.0
3429293;15581853.0;1420.0;1383.0;1395.0;1408.0;372.0;301.7;322.9;483.8;BDAEBCDEBDDEBCDCEDBCCEAEBCBEABDBADACDEACBDBEB;EBDCACBECADEBDCDEBCADEBAACBEEBCBDACDACECABCDB;ABAECECDDEDAECCBCABEDCABECDAAEADBCEABECADBCCE;CADEDEDDEBEBCCACBBADEADACDACBEABDCEABCDEEBDCA;1;600.0
2071877;35150344.0;1422.0;1384.0;1396.0;1410.0;447.4;591.2;586.9;538.3;BCCDBDDACDDBCBACACCECAA..CDCDEBCABBACCBDBDAAD;B.DABCDAEC.BEBBB..CABADAB.CADEEEEACB.EBABCEEA;AACEADADECBBDDCEBDAC.CDEDDCAAEEDEB.DBAC.CBAAC;BBDEDAEDBDABCAACCCBDCBDDEBEBBDEBEABBBEACCBBCA;0;480.0
