CO_PROVA_CN;CO_PROVA_MT;TX_GABARITO_CN;TX_GABARITO_MT
1420.0;1408.0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE
1422.0;1410.0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD
1422.0;1410.0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD
1422.0;1410.0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD
1419.0;1407.0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE
1420.0;1408.0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE
1420.0;1408.0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE
1421.0;1409.0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB
1420.0;1408.0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE
1422.0;1410.0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD
